doppler_hz,som_mimo_ap,som_mimo_ap50,ours_ap,ours_ap50,ap_gain,ap50_gain
40,30.0091,54.5362,30.1375,55.5042,0.1284,0.9680
80,28.1040,50.8182,29.3936,54.0207,1.2896,3.2025
120,24.9582,45.5328,27.4400,51.4532,2.4818,5.9204
160,21.7909,40.6360,25.7352,48.8384,3.9443,8.2024
200,19.8571,36.8864,24.2865,46.0843,4.4294,9.1979
240,17.7802,33.2616,22.2344,43.2402,4.4542,9.9786
280,16.1557,30.2025,21.1279,40.6520,4.9722,10.4495
320,14.7443,28.0150,19.8209,38.3368,5.0766,10.3218
360,13.0503,24.7332,18.2183,35.5064,5.1680,10.7732
400,11.6164,22.1793,17.0286,33.3885,5.4122,11.2092
