doppler_hz,c48_ap,c48_ap50,wifo_residual_ap,wifo_residual_ap50,full_ap,full_ap50,full_vs_c48_ap_gain,full_vs_wifo_ap_gain
40,30.0091,54.5362,30.1454,55.0685,30.2752,55.4532,0.2661,0.1298
80,28.1040,50.8182,28.8843,52.8373,29.1518,53.7512,1.0478,0.2675
120,24.9582,45.5328,27.2213,49.8665,28.0351,51.4929,3.0769,0.8138
160,21.7909,40.6360,24.9036,46.2227,25.8840,48.1128,4.0931,0.9804
200,19.8571,36.8864,23.0173,42.5712,23.8184,44.2311,3.9613,0.8011
240,17.7802,33.2616,20.8786,39.5400,22.1665,42.3902,4.3863,1.2879
280,16.1557,30.2025,19.1128,36.1708,20.8662,39.6088,4.7105,1.7534
320,14.7443,28.0150,17.2120,32.9949,19.2590,36.7857,4.5147,2.0470
360,13.0503,24.7332,15.6708,30.0774,17.7020,33.9485,4.6517,2.0312
400,11.6164,22.1793,14.5403,28.0346,16.4359,31.8340,4.8195,1.8956
