doppler_hz,c48_ap,c48_ap50,wifo_residual_ap,wifo_residual_ap50,task_adapted_ap,task_adapted_ap50,task_adapted_vs_c48_ap_gain,task_adapted_vs_wifo_ap_gain
40,30.0091,54.5362,30.1454,55.0685,30.1375,55.5042,0.1284,-0.0079
80,28.1040,50.8182,28.8843,52.8373,29.3936,54.0207,1.2896,0.5093
120,24.9582,45.5328,27.2213,49.8665,27.4400,51.4532,2.4818,0.2187
160,21.7909,40.6360,24.9036,46.2227,25.7352,48.8384,3.9443,0.8316
200,19.8571,36.8864,23.0173,42.5712,24.2865,46.0843,4.4294,1.2692
240,17.7802,33.2616,20.8786,39.5400,22.2344,43.2402,4.4542,1.3558
280,16.1557,30.2025,19.1128,36.1708,21.1279,40.6520,4.9722,2.0151
320,14.7443,28.0150,17.2120,32.9949,19.8209,38.3368,5.0766,2.6089
360,13.0503,24.7332,15.6708,30.0774,18.2183,35.5064,5.1680,2.5475
400,11.6164,22.1793,14.5403,28.0346,17.0286,33.3885,5.4122,2.4883
