mode,layer,class_name,rel_l2,mae,mse,cosine,samples
outdated,p2,person,0.5761746253418804,0.45452602980588735,0.45142686161958145,0.7533125402539764,401
outdated,p2,rider,0.6103077342976695,0.47540077926377533,0.4935790848818869,0.7193794991276246,253
outdated,p2,car,0.5072499800114951,0.5148600333810601,0.5740335164961861,0.8029893766582075,478
outdated,p2,truck,0.6134461397305131,0.5541546158492565,0.6271214557113126,0.7293794772122055,80
outdated,p2,bus,0.5554364091157913,0.5403970458110173,0.6097693867236376,0.7748736897359292,75
outdated,p2,train,0.5384296199137514,0.5669165070761334,0.6668466790155931,0.801373768936504,22
outdated,p2,motorcycle,0.6226778104100176,0.48648646153429503,0.4880049293560366,0.7159899113379339,93
outdated,p2,bicycle,0.6088177985385105,0.5051224375554442,0.5480163477127669,0.726128159037417,331
outdated,p3,person,0.5611089064816287,0.4149860564312733,0.37317192881598027,0.7622030246091259,401
outdated,p3,rider,0.5876353013480133,0.4321222420295943,0.4048432600758086,0.7368380956705144,253
outdated,p3,car,0.532227387082876,0.47503810712607836,0.48956547178148785,0.7788084143649486,478
outdated,p3,truck,0.6103671563789248,0.4961253388784826,0.4997601707698777,0.7318588774651289,80
outdated,p3,bus,0.5799584164222081,0.4956444369753202,0.5135573534915845,0.7501366868118445,75
outdated,p3,train,0.5742559033361349,0.508328756148165,0.5353253241628408,0.7688434354283593,22
outdated,p3,motorcycle,0.5944161288520341,0.4433447601654196,0.39974555104810705,0.7392277972652547,93
outdated,p3,bicycle,0.6019487736628495,0.4630971144423384,0.45977812534721507,0.7243999876032704,331
outdated,p4,person,0.5674367342841001,0.42367095706468805,0.37666789103796394,0.7610730291471963,401
outdated,p4,rider,0.5886229913048593,0.441034515075415,0.40650975389825733,0.742749099380414,253
outdated,p4,car,0.5524698690858096,0.5028979418386226,0.538976313406017,0.7611988059139838,478
outdated,p4,truck,0.6205830857157707,0.5039080599322915,0.5099078663624823,0.7259098991751671,80
outdated,p4,bus,0.6007351891199748,0.5279820031921069,0.5767517987142007,0.7261763413995505,75
outdated,p4,train,0.6141591268506917,0.5456570027904077,0.6125738503919407,0.7259048342027448,22
outdated,p4,motorcycle,0.5948377334943382,0.46218554563419795,0.4241210424731816,0.7431988460161993,93
outdated,p4,bicycle,0.606083983380989,0.47831778176511525,0.4800909718687103,0.720521824585634,331
outdated,p5,person,0.6107629045583958,0.39946304716894454,0.31770150270313025,0.7454579733021818,401
outdated,p5,rider,0.6230224520557012,0.3909412507011956,0.30383976993773115,0.7423335283759083,253
outdated,p5,car,0.5914157714897369,0.5082009916493833,0.5405990306393216,0.7412942519662785,478
outdated,p5,truck,0.6533224897459149,0.4757287612184882,0.4528226731810719,0.7157506224699318,80
outdated,p5,bus,0.6251621526479721,0.5139860069751739,0.5485711237291495,0.7158027542258303,75
outdated,p5,train,0.6514366336844184,0.5531627468087457,0.6285258355465803,0.6922136836431243,22
outdated,p5,motorcycle,0.6250034022715784,0.40127849594880177,0.3057965796080328,0.7461711333323551,93
outdated,p5,bicycle,0.6389655638767513,0.4341396907305069,0.3783425829131325,0.7167853553557144,331
pred,p2,person,0.5773470132353894,0.4559112276110863,0.4551839591758767,0.7505399768828342,401
pred,p2,rider,0.6114736872876114,0.47751488121366314,0.4962488911427528,0.7177940730830072,253
pred,p2,car,0.508988623012434,0.5163244670373874,0.5769612428295781,0.8013777025511574,478
pred,p2,truck,0.6197831969708204,0.5612829629331827,0.6479107450228184,0.7237421828293009,80
pred,p2,bus,0.5709427442153295,0.5540969940026601,0.6374230403204759,0.760785896802942,75
pred,p2,train,0.5494249943982471,0.5753817869858309,0.6856636963784695,0.7896541776982221,22
pred,p2,motorcycle,0.6198727719245418,0.4859179436199127,0.489028975407603,0.7166904256308592,93
pred,p2,bicycle,0.611631918934897,0.5079426922556857,0.5503155419580481,0.7250800361720355,331
pred,p3,person,0.5603749418347851,0.4148469600185492,0.373386818467363,0.7613136436177088,401
pred,p3,rider,0.5894237430140435,0.4342167161611229,0.40748584153049666,0.734911885586928,253
pred,p3,car,0.5326763990970336,0.4752255673033174,0.48996726433049,0.7776884515594426,478
pred,p3,truck,0.6195059821009636,0.5041628210805357,0.523500269302167,0.7203617190243676,80
pred,p3,bus,0.5931312255064647,0.5046543288230896,0.5287719998011986,0.7377054718136787,75
pred,p3,train,0.5802125781774521,0.5122364400462671,0.5370840960266915,0.7613610449162397,22
pred,p3,motorcycle,0.5880497466492397,0.44042747876336497,0.39667828773619024,0.7428050776693209,93
pred,p3,bicycle,0.6028246406432005,0.4639648575437033,0.4582440602365217,0.7255775904911781,331
pred,p4,person,0.5656502716001727,0.4226702252342517,0.37466474147304485,0.7619170773390592,401
pred,p4,rider,0.5873271123811662,0.4408448983145797,0.40593437540157157,0.7440098932992093,253
pred,p4,car,0.5515872195487741,0.5018707820872882,0.5366207345751227,0.7614625589283979,478
pred,p4,truck,0.6300080874934793,0.5119252452626825,0.5374361218884587,0.7115732637699693,80
pred,p4,bus,0.6148392512400945,0.5380570908387502,0.5922602223108212,0.7124871840079625,75
pred,p4,train,0.6141645867716182,0.5441781356930733,0.600654792717912,0.7250894043933261,22
pred,p4,motorcycle,0.5867509563123027,0.45760714735395164,0.41878121750809816,0.7496693313362137,93
pred,p4,bicycle,0.6058873408825736,0.4781392835463282,0.47671245661173073,0.7231075087615135,331
pred,p5,person,0.6076629525259546,0.3976863566739601,0.31454888242819434,0.7483886165348139,401
pred,p5,rider,0.6218069029655381,0.39092708638180856,0.3047510697377529,0.7432306240581477,253
pred,p5,car,0.5896552167365242,0.5064786942558808,0.5371784355460226,0.7422800250858006,478
pred,p5,truck,0.659606415592134,0.48228794895112514,0.47776077440939846,0.7039297873452597,80
pred,p5,bus,0.6341787292559942,0.5205238640308381,0.5581089779486259,0.70709172864755,75
pred,p5,train,0.6461035575379025,0.5479857853867791,0.6108097120780837,0.6985955675217238,22
pred,p5,motorcycle,0.6226034949543655,0.4009862668732161,0.30645599825087416,0.7484229888005923,93
pred,p5,bicycle,0.6384537616615209,0.43408514509748475,0.37732307073798066,0.7184334468811165,331
