mode,layer,class_name,rel_l2,mae,mse,cosine,samples
outdated,p2,person,0.35168574815453435,0.2647923031761462,0.1651801428144468,0.9053423974356449,401
outdated,p2,rider,0.3693631410068674,0.27759227083016763,0.1880608634257564,0.8900271498344161,253
outdated,p2,car,0.30726206367328823,0.29660673427033124,0.21741408134993773,0.9240605685563765,478
outdated,p2,truck,0.36940968669950963,0.3180718439631164,0.2322186958626844,0.8959197163232602,80
outdated,p2,bus,0.3461518301566442,0.32232068916161855,0.2498546685775121,0.9080463047822317,75
outdated,p2,train,0.3699217289686203,0.3738975159146569,0.3144637757742947,0.9035694355314429,22
outdated,p2,motorcycle,0.3652711151748575,0.27625447992355595,0.17034251540298423,0.8990623204297917,93
outdated,p2,bicycle,0.36808923807479105,0.29737127687095516,0.2113532432160844,0.8949131303188304,331
outdated,p3,person,0.3384294275779677,0.2407887439868248,0.13406595095011994,0.9123173778008047,401
outdated,p3,rider,0.351230495355346,0.2533444311955701,0.1544560053378432,0.9006084025259545,253
outdated,p3,car,0.31808893465160326,0.27249286878682577,0.18345139582279024,0.9160645415219303,478
outdated,p3,truck,0.3643789100460708,0.28721984904259446,0.18758596649277023,0.8980421165004373,80
outdated,p3,bus,0.3546437260508537,0.29456963886817294,0.21040218469997246,0.8987131849924723,75
outdated,p3,train,0.38647462698546325,0.3360396024178375,0.2544984062286941,0.8906841576099396,22
outdated,p3,motorcycle,0.3457248461663082,0.25131200906890694,0.13752187171109742,0.9115459210770105,93
outdated,p3,bicycle,0.36038594456597756,0.27178770546826714,0.17543550961709994,0.8975117814887507,331
outdated,p4,person,0.3468878441989571,0.2450385819516723,0.13363400636359288,0.9113952537204262,401
outdated,p4,rider,0.35826410547546717,0.25819590353506355,0.15371246973288213,0.9023315206817959,253
outdated,p4,car,0.3353163124330997,0.28668734071986696,0.19961310582913488,0.9072056347699096,478
outdated,p4,truck,0.37188526811078193,0.2932423813268542,0.18998321531107648,0.897420484572649,80
outdated,p4,bus,0.3682800222436587,0.313233984708786,0.23551582912604013,0.8899890835086505,75
outdated,p4,train,0.40904448249123315,0.3552538515491919,0.27983616063879296,0.8773996206847104,22
outdated,p4,motorcycle,0.35051111892987324,0.25830490454550714,0.14082404368767334,0.91303545140451,93
outdated,p4,bicycle,0.37204073488802347,0.27743090850123825,0.17756149980726335,0.8936254808234664,331
outdated,p5,person,0.40187185904257317,0.2478580044076181,0.12692561199739946,0.8923418939559536,401
outdated,p5,rider,0.41005332178984705,0.24626396337281103,0.1275205237628973,0.8886862590378923,253
outdated,p5,car,0.37965546249096366,0.30739770454031157,0.2185250385099375,0.8902271757658305,478
outdated,p5,truck,0.4145414596423507,0.28922256994992496,0.1718149865511805,0.8889253668487072,80
outdated,p5,bus,0.3995464533567429,0.31359553237756094,0.22690545834600925,0.8794574012358983,75
outdated,p5,train,0.4436330436305566,0.36086684702472255,0.27986144655468786,0.8628417199308221,22
outdated,p5,motorcycle,0.4080584848760277,0.24912958463994406,0.12553707627900024,0.8923852251422021,93
outdated,p5,bicycle,0.41847997262308606,0.26770853278229967,0.15266808723394965,0.8798258152883218,331
pred,p2,person,0.35772794284428144,0.2690792439825963,0.17021118750345157,0.9013571822806784,401
pred,p2,rider,0.3767805594523905,0.2829613156705035,0.19419042017723143,0.885583302808609,253
pred,p2,car,0.31045206333802833,0.30038542944205354,0.22291806419711233,0.9222035353933169,478
pred,p2,truck,0.37249739058315756,0.3205692857503891,0.2357625328702852,0.8944120488595217,80
pred,p2,bus,0.3500272938609123,0.32645743052164716,0.25254519359519084,0.9055756163597107,75
pred,p2,train,0.3673340000889518,0.36696267602118576,0.2962202831086787,0.9059846198016946,22
pred,p2,motorcycle,0.37973549497383896,0.28917919251547064,0.19120492182311513,0.8890828344450202,93
pred,p2,bicycle,0.37363224483328644,0.3020967648468709,0.21722361322751219,0.8915071056486077,331
pred,p3,person,0.3432653994482949,0.24415367908608587,0.13756511495576387,0.9093910417800533,401
pred,p3,rider,0.35749646706190036,0.2574656690827943,0.15851906629411777,0.8973589370785494,253
pred,p3,car,0.32076630241015464,0.27524918779169666,0.18726201769389275,0.9142520128433674,478
pred,p3,truck,0.3662790420465171,0.28893059827387335,0.1896674951305613,0.8966745854355395,80
pred,p3,bus,0.35816956708828607,0.297583001156648,0.21176926114906866,0.8968082328637441,75
pred,p3,train,0.38309563357721677,0.32978643951090897,0.23925950428978962,0.8947697187011893,22
pred,p3,motorcycle,0.360842498079423,0.2633674788859583,0.1544982991131243,0.9022323947439912,93
pred,p3,bicycle,0.3657192966008835,0.27596315226075874,0.18026176183076514,0.8942685444864622,331
pred,p4,person,0.35019944606353515,0.247365977429318,0.13609937087114798,0.9094784503937362,401
pred,p4,rider,0.36315697611202835,0.2615692713721232,0.1567777130723353,0.8998681447604899,253
pred,p4,car,0.33804937640680427,0.28938372171324167,0.2036766073760035,0.9052857104299208,478
pred,p4,truck,0.37312588533386587,0.29443388590589165,0.1921669241040945,0.8968368176370859,80
pred,p4,bus,0.3736381368835767,0.31786151150862374,0.23797894141326348,0.8878246667981148,75
pred,p4,train,0.4062605601820079,0.3495852642438628,0.26261308924718335,0.8829799145460129,22
pred,p4,motorcycle,0.3643744687239329,0.2698678771654765,0.15685773370487074,0.9041938730465469,93
pred,p4,bicycle,0.3769827856263005,0.28141526522233046,0.18243513983643397,0.8906587111985935,331
pred,p5,person,0.404868383304288,0.24977724198391313,0.12807669959953077,0.8917516890606678,401
pred,p5,rider,0.41393634350050107,0.24843876962016223,0.1287443076551196,0.8880090990320967,253
pred,p5,car,0.3815294260696886,0.3093852146555938,0.22143487317417457,0.8893664399450294,478
pred,p5,truck,0.41652591470628975,0.291403257381171,0.1759272744995542,0.8878611072897911,80
pred,p5,bus,0.4028564868370692,0.3171698663632075,0.23005147765080133,0.8779283607006073,75
pred,p5,train,0.4419171159917658,0.3559293774041263,0.2640918579629876,0.8680464462800459,22
pred,p5,motorcycle,0.42004809071940763,0.2573253061341983,0.1345224280951805,0.8857667100044989,93
pred,p5,bicycle,0.42319896623627296,0.27096167508388935,0.15581308145166073,0.8781638281402991,331
