mode,layer,region,rel_l2,mae,mse,cosine,samples
outdated,p2,roi,0.3121849822213616,0.32051756034597634,0.24431775260444094,0.9246800986186761,492
outdated,p2,background,0.30606972201168536,0.3963550458997488,0.33870656808279453,0.9383046361207962,500
outdated,p2,global,0.30636471734195947,0.38964254067838194,0.330629981353879,0.9373875750899315,500
outdated,p3,roi,0.3279235399805191,0.29001297262625964,0.19908676942530262,0.9151865425330352,492
outdated,p3,background,0.32678949628770354,0.3351043304353952,0.238234898628667,0.929201675593853,500
outdated,p3,global,0.32762412264943125,0.33151480470597744,0.23603634269349277,0.9276274833679199,500
outdated,p4,roi,0.3472653022717412,0.31238199583428905,0.22575256958645504,0.9053868652525835,492
outdated,p4,background,0.39304645830392837,0.35967863401770594,0.26146356741338966,0.900620437681675,500
outdated,p4,global,0.3891405835300684,0.3561844963133335,0.2607575780637562,0.9004439489245415,500
outdated,p5,roi,0.3851152737208498,0.3281347531583009,0.24035711713491115,0.8902417625020432,492
outdated,p5,background,0.4526556926518679,0.4234378707259893,0.3641192358583212,0.8622746480107307,500
outdated,p5,global,0.4448850652128458,0.4128593550026417,0.3512832674551755,0.8653340194821357,500
pred,p2,roi,0.3171396202339632,0.3254914441092954,0.25105971876509126,0.9219575217220841,492
pred,p2,background,0.3140068049877882,0.40674117422103884,0.35461259514838456,0.9350712975263595,500
pred,p2,global,0.3139008365571499,0.39929609902203084,0.34515851240977646,0.9343190111517906,500
pred,p3,roi,0.33216313346917553,0.293608082064647,0.20368262655025998,0.9124483589870416,492
pred,p3,background,0.33485524831712243,0.34355884478986265,0.2490715671479702,0.9256337366104126,500
pred,p3,global,0.335176201865077,0.3392938844263554,0.2458413002230227,0.9242919827699662,500
pred,p4,roi,0.35113381588362097,0.31560208913453713,0.2298909478302197,0.9028702491924652,492
pred,p4,background,0.40155780847370626,0.3676885187625885,0.2715627533569932,0.8964906767010689,500
pred,p4,global,0.3969152718782425,0.36348434357345105,0.2697424424439669,0.89675172072649,500
pred,p5,roi,0.3889294918172243,0.33132985476555865,0.24391647031326302,0.8881816007651206,492
pred,p5,background,0.459347849458456,0.43049786192178724,0.37370001783594486,0.8583230551481247,500
pred,p5,global,0.4509812150001526,0.41927597507834435,0.3596537285037339,0.8619079405665397,500
