mode,layer,region,rel_l2,mae,mse,cosine,samples
outdated,p2,roi,0.31758943347002916,0.3116647798219711,0.23521765909153908,0.9199004567008677,492
outdated,p2,background,0.29844226712733507,0.39305779661238194,0.32949550459347665,0.9411674292087555,500
outdated,p2,global,0.2998440605029464,0.3854674129039049,0.3208634618911892,0.9397128131985665,500
outdated,p3,roi,0.33281060135582596,0.28542773898054913,0.19657111780839118,0.9103067295580376,492
outdated,p3,background,0.3203737014979124,0.33558810396492483,0.2359370569046587,0.9321820493936539,500
outdated,p3,global,0.32241845001280306,0.3313576534986496,0.2335652021765709,0.929974301636219,500
outdated,p4,roi,0.3505571938112257,0.29946113547416237,0.21240018214083967,0.9012693180664768,492
outdated,p4,background,0.36677265682816507,0.3385357453674078,0.2312132690344006,0.9137000591754914,500
outdated,p4,global,0.3668526811748743,0.33598366038501265,0.23236283486708997,0.9115901273488999,500
outdated,p5,roi,0.38789366555165466,0.31367157164930815,0.2238604810781686,0.8865566967524648,492
outdated,p5,background,0.42612210670113565,0.37643107430636885,0.27893336961232124,0.8813615206480027,500
outdated,p5,global,0.4216447243541479,0.37027648013830183,0.2754752509538084,0.8815810737013817,500
pred,p2,roi,0.3223809453287745,0.3166749733916628,0.2422071917217255,0.9172666243512214,492
pred,p2,background,0.30325549994409084,0.3998857806921005,0.338625720500946,0.9392348378896713,500
pred,p2,global,0.30481119512021543,0.3922754771709442,0.33006608782708646,0.9376838378310204,500
pred,p3,roi,0.3372264738399081,0.28940846078945853,0.20166880919643473,0.9077533774865352,492
pred,p3,background,0.32542052209377287,0.3411919800788164,0.24176796302571893,0.9303287732601165,500
pred,p3,global,0.3275724928379059,0.3369066975414753,0.2394599633924663,0.9280348639488221,500
pred,p4,roi,0.35477888217665315,0.3032278364478815,0.2177835439683915,0.8986582328088399,492
pred,p4,background,0.3732943969517946,0.34464264523983,0.23709542371332645,0.9115312974452973,500
pred,p4,global,0.3733599868118763,0.3419416175782681,0.23831164960190654,0.9093677591085434,500
pred,p5,roi,0.3909546392780494,0.3165903927955201,0.2278013893618907,0.8850294584181251,492
pred,p5,background,0.43324504521489143,0.3828906457573175,0.28591630517691374,0.8786014208197593,500
pred,p5,global,0.42848798137903216,0.3763354281783104,0.2821286277063191,0.8789548537135125,500
