Doppler_Hz,SNR_dB,Baseline_AP,Baseline_AP50,Ours_AP,Ours_AP50,AP_Gain,AP50_Gain
120,-5,21.9358,41.5807,24.1574,47.0574,2.2216,5.4767
120,-2,23.8213,44.1555,26.6841,50.4502,2.8628,6.2947
120,0,24.9582,45.5328,27.4400,51.4532,2.4818,5.9204
120,2,25.2979,46.5738,28.0610,52.2427,2.7631,5.6689
120,5,25.9122,47.2789,28.6166,53.1371,2.7044,5.8582
280,-5,12.6939,25.2185,16.9832,33.7368,4.2893,8.5183
280,-2,15.1141,28.5804,19.9758,38.7337,4.8617,10.1533
280,0,16.1557,30.2025,21.1279,40.6520,4.9722,10.4495
280,2,16.8679,31.6275,21.6027,41.2428,4.7348,9.6153
280,5,17.4357,32.5526,22.2402,41.8775,4.8045,9.3249
